SOC;OCV [V]
0;2.75
0.05;3.4851
0.1;3.5251
0.15;3.5621
0.2;3.5929
0.25;3.6163
0.3;3.6313
0.35;3.6468
0.4;3.6653
0.45;3.6893
0.5;3.7222
0.55;3.7751
0.6;3.8399
0.65;3.8920
0.7;3.9437
0.75;3.9970
0.8;4.0528
0.85;4.1087
0.9;4.1621
1;4.3
