SOC;OCV [V]
0;2.75
0.05;3.4672
0.1;3.493
0.15;3.5362
0.2;3.5708
0.25;3.6018
0.3;3.6253
0.35;3.641
0.4;3.6585
0.45;3.6805
0.5;3.7099
0.55;3.7537
0.6;3.8239
0.65;3.8787
0.7;3.9327
0.75;3.9879
0.8;4.0456
0.85;4.1041
0.9;4.16
0.95;4.2133
1;4.3
